campaign,campaign_date,site_id,date_collected,date_received,job_id,report_file,lab_sample_id,analyte_std,result_text,result_value,detect_flag,rl,unit,qualifier,dil_fac
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,"1H,1H,2H,2H-Perfluorooctane sulfonic acid (6:2 FTS)",4.2,4.2,1,2.8,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,3-Perfluoroheptylpropanoic acid (7:3 FTCA),<6.9,,0,6.9,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,"1H,1H,2H,2H-Perfluorodecane sulfonic acid (8:2 FTS)",<2.8,,0,2.8,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,9-Chlorohexadecafluoro-3-oxanonane-1-sulfonic acid (9Cl-PF3ONS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,"4,8-Dioxa-3H-perfluorononanoic acid (ADONA)",<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Hexafluoropropylene Oxide Dimer Acid (HFPO-DA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-ethylperfluorooctane sulfonamide (NEtFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-ethylperfluorooctanesulfonamidoac etic acid (NEtFOSAA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-ethylperfluorooctane sulfonamidoethanol (NEtFOSE),<6.9,,0,6.9,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,"Nonafluoro-3,6-dioxaheptanoic acid (NFDHA)",<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-methylperfluorooctane sulfonamide (NMeFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-methylperfluorooctanesulfonamidoa cetic acid (NMeFOSAA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,N-methylperfluorooctane sulfonamidoethanol (NMeFOSE),<6.9,,0,6.9,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorobutanoic acid (PFBA),15,15.0,1,2.8,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorobutanesulfonic acid (PFBS),6.8,6.8,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorodecanoic acid (PFDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorodecanesulfonic acid (PFDS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorododecanoic acid (PFDoA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorododecanesulfonic acid (PFDoS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoro (2-ethoxyethane) sulfonic acid (PFEESA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoroheptanoic acid (PFHpA),4.6,4.6,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoroheptanesulfonic acid (PFHpS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorohexanoic acid (PFHxA),13,13.0,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorohexanesulfonic acid (PFHxS),24,24.0,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoro-4-methoxybutanoic acid (PFMBA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoro-3-methoxypropanoic acid (PFMPA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorononanoic acid (PFNA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorononanesulfonic acid (PFNS),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorooctanoic acid (PFOA),9.5,9.5,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorooctanesulfonic acid (PFOS),36,36.0,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorooctanesulfonamide (PFOSA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoropentanoic acid (PFPeA),12,12.0,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoropentanesulfonic acid (PFPeS),2.6,2.6,1,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorotetradecanoic acid (PFTeDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluorotridecanoic acid (PFTrDA),<1.4,,0,1.4,ng/L,,1
Campaign 1,2025-12-21,TW04,2025-12-21 09:30:00,2025-12-23 09:30:00,810-176371-1,J176371-1 UDS Level 2 Report Final Report.pdf,810-176371-5,Perfluoroundecanoic acid (PFUnA),<1.4,,0,1.4,ng/L,,1
